generic,disease,min_age_d,max_age_d,min_age_m,max_age_m,min_age_y,max_age_y,min_weight,max_weight,min_dose_dw_mg,max_dose_dw_mg,min_dose_dw_iu,max_dose_dw_iu,limit_mg,limit_iu,min_dose_dd_mg,max_dose_dd_mg,min_dose_dd_UNIT,max_dose_dd_iu,route,
Amoxicillin  + Clavulanic Acid,Sinusitis,,,,,12,120,,,,,,,,,750,1750,,,PO,
Amoxicillin  + Clavulanic Acid,Sinusitis,,,1,3,,,,,30,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Sinusitis,,,3,,,11,,,20,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Sinusitis,,,3,,,11,,,,,,,,,750,1750,,,PO,
Amoxicillin  + Clavulanic Acid,Skin and Structure Infection,,,1,3,,,,,30,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Skin and Structure Infection,,,3,,,11,,,20,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Skin and Structure Infection,,,3,,,11,,,,,,,,,750,1750,,,PO,
Amoxicillin  + Clavulanic Acid,Skin or Soft Tissue Infection,,,,,12,120,,,,,,,,,750,1750,,,PO,
Amoxicillin  + Clavulanic Acid,Upper Respiratory Tract Infection,,,,,12,120,,,,,,,,,750,1750,,,PO,
Amoxicillin  + Clavulanic Acid,Urinary Tract Infection,,,,,12,120,,,,,,,,,750,1750,,,PO,
Amoxicillin  + Clavulanic Acid,Urinary Tract Infection,,,1,3,,,,,30,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Urinary Tract Infection,,,3,,,11,,,20,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Urinary Tract Infection,,,3,,,11,,,,,,,,,750,1750,,,PO,
Amphotericin B,Aspergillosis - Invasive,,,,,18,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Blastomycosis,,,,,12,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Blastomycosis,,,1,,,11,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Candida Urinary Tract Infection,,,,,18,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Candidemia,,,,,12,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Candidemia,,,1,,,11,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Coccidioidomycosis,,,,,18,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Cryptococcal Meningitis - Immunocompetent Host,,,,,12,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Cryptococcal Meningitis - Immunosuppressed Host,,,1,,,11,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Histoplasmosis - Immunocompetent Host,,,,,18,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Leishmaniasis,,,,,18,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Mucormycosis - Invasive,,,,,18,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Ocular Fungal Infection,,,,,18,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Oral Thrush,,,,,18,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Sporotrichosis,,,,,12,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Sporotrichosis,,,1,,,11,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Systemic Fungal Infection,,,,,12,120,,,0.005,1.5,,,,,,,,,IV,
Amphotericin B,Systemic Fungal Infection,,,1,,,11,,,0.005,1.5,,,,,,,,,IV,
Ampicillin,Bacterial Endocarditis Prophylaxis,,,,,12,120,,,,,,,,,2000,4000,,,IM,
Ampicillin,Bacterial Endocarditis Prophylaxis,,,,,12,120,,,,,,,,,2000,4000,,,IV,
Ampicillin,Bacterial Endocarditis Prophylaxis,,,1,,,11,,,50,100,,,2000,,,,,,IM,
Ampicillin,Bacterial Endocarditis Prophylaxis,,,1,,,11,,,50,100,,,2000,,,,,,IV,
Ampicillin,Bacterial Infection,,,1,,,11,,,50,200,,,,,,,,,IM,
Ampicillin,Bacterial Infection,1,7,,,,,,,100,150,,,,,,,,,IM,
Ampicillin,Bacterial Infection,8,29,,,,,,,150,200,,,,,,,,,IM,
Ampicillin,Bacterial Infection,,,1,,,11,,,50,200,,,,,,,,,IV,
Ampicillin,Bacterial Infection,1,7,,,,,,,100,150,,,,,,,,,IV,
Ampicillin,Bacterial Infection,8,29,,,,,,,150,200,,,,,,,,,IV,
Ampicillin,Bacterial Infection,,,1,,,11,,,50,100,,,,,,,,,PO,
Ampicillin,Bronchitis,,,,,12,120,,,,,,,,,1000,1250,,,IM,
Ampicillin,Bronchitis,,,,,12,120,,,,,,,,,1000,1250,,,IV,
Ampicillin,Bronchitis,,,,,12,120,,,,,,,,,1000,2000,,,PO,
Ampicillin,Bronchitis,,,,,12,120,,,,,,,,,1000,1250,,,PO,
Ampicillin,Bronchitis,,,1,,,11,,39.5,25,50,,,,,,,,,IM,
Ampicillin,Bronchitis,,,1,,,11,39.6,,,,,,,,1000,2000,,,IM,
Ampicillin,Bronchitis,,,1,,,11,,39.5,25,50,,,,,,,,,IV,
Ampicillin,Bronchitis,,,1,,,11,39.6,,,,,,,,1000,2000,,,IV,
Ampicillin,Bronchitis,,,1,,,11,19.6,,,,,,,,1000,1250,,,PO,
Ampicillin,Bronchitis,,,1,,,11,,19.5,50,62.5,,,,,,,,,PO,
Ampicillin,Cutaneous Bacillus anthracis,,,,,12,120,,,,,,,,,12000,15000,,,IV,
Ampicillin,Cutaneous Bacillus anthracis,,,1,,,11,,,200,400,,,,,,,,,IM,
Ampicillin,Cutaneous Bacillus anthracis,1,7,,,,,,,150,200,,,,,,,,,IM,
Ampicillin,Cutaneous Bacillus anthracis,8,29,,,,,,,200,250,,,,,,,,,IM,
Ampicillin,Cutaneous Bacillus anthracis,,,1,,,11,,,200,400,,,,,,,,,IV,
Ampicillin,Cutaneous Bacillus anthracis,1,7,,,,,,,150,200,,,,,,,,,IV,
Ampicillin,Cutaneous Bacillus anthracis,8,29,,,,,,,200,250,,,,,,,,,IV,
Ampicillin,Endocarditis,29,,,,,1,,,300,400,,,12000,,,,,,IM,
Ampicillin,Endocarditis,29,,,,,1,,,200,300,,,12000,,,,,,IM,
Ampicillin,Endocarditis,29,,,,,1,,,300,400,,,12000,,,,,,IV,
Ampicillin,Endocarditis,29,,,,,1,,,200,300,,,12000,,,,,,IV,
Ampicillin,Gastroenteritis,,,,,12,120,,,,,,,,,2000,2500,,,IM,
Ampicillin,Gastroenteritis,,,,,12,120,,,,,,,,,2000,2500,,,IV,
Ampicillin,Gastroenteritis,,,,,12,120,,,,,,,,,2000,2500,,,PO,
Ampicillin,Gastroenteritis,,,1,,,11,,39.5,50,62.5,,,,,,,,,IM,
Ampicillin,Gastroenteritis,,,1,,,11,39.6,,,,,,,,1000,2000,,,IM,
Ampicillin,Gastroenteritis,,,1,,,11,,39.5,50,62.5,,,,,,,,,IV,
Ampicillin,Gastroenteritis,,,1,,,11,39.6,,,,,,,,1000,2000,,,IV,
Ampicillin,Gastroenteritis,,,1,,,11,19.6,,,,,,,,1000,1250,,,PO,
Ampicillin,Gastroenteritis,,,1,,,11,,19.5,25,31.25,,,,,,,,,PO,
Ampicillin,Gonococcal Infection - Uncomplicated,,,,,12,120,,,,,,,,,1000,2000,,,IM,
Ampicillin,Gonococcal Infection - Uncomplicated,,,,,12,120,,,,,,,,,1000,2000,,,IV,
Ampicillin,Gonococcal Infection - Uncomplicated,,,,,12,120,,,,,,,,,3500,7000,,,PO,
Ampicillin,Inhalation Bacillus anthracis,,,,,12,120,,,,,,,,,12000,15000,,,IV,
Ampicillin,Inhalation Bacillus anthracis,,,1,,,11,,,200,400,,,12000,,,,,,IM,
Ampicillin,Inhalation Bacillus anthracis,1,7,,,,,,,150,200,,,,,,,,,IM,
Ampicillin,Inhalation Bacillus anthracis,8,29,,,,,,,200,250,,,,,,,,,IM,
Ampicillin,Inhalation Bacillus anthracis,,,1,,,11,,,200,400,,,12000,,,,,,IV,
Ampicillin,Inhalation Bacillus anthracis,1,7,,,,,,,150,200,,,,,,,,,IV,
Ampicillin,Inhalation Bacillus anthracis,8,29,,,,,,,200,250,,,,,,,,,IV,
Ampicillin,Intraabdominal Infection,,,,,12,120,,,,,,,,,2000,2500,,,IM,
Ampicillin,Intraabdominal Infection,,,,,12,120,,,,,,,,,2000,2500,,,IV,
Ampicillin,Intraabdominal Infection,,,,,12,120,,,,,,,,,2000,2500,,,PO,
Ampicillin,Intraabdominal Infection,,,1,,,11,,39.5,50,62.5,,,,,,,,,IM,
Ampicillin,Intraabdominal Infection,,,1,,,11,39.6,,,,,,,,2000,2500,,,IM,
Ampicillin,Intraabdominal Infection,,,1,,,11,,39.5,50,62.5,,,,,,,,,IV,
Ampicillin,Intraabdominal Infection,,,1,,,11,39.6,,,,,,,,2000,2500,,,IV,
Ampicillin,Intraabdominal Infection,,,1,,,11,19.6,,,,,,,,2000,2500,,,PO,
Ampicillin,Intraabdominal Infection,,,1,,,11,,19.5,25,31.25,,,,,,,,,PO,
Ampicillin,Meningitis,,,,,12,120,,,150,200,,,12000,,,,,,IM,
Ampicillin,Meningitis,,,,,12,120,,,150,200,,,12000,,,,,,IV,
Ampicillin,Meningitis,,,1,,,11,,,150,400,,,12000,,,,,,IM,
Ampicillin,Meningitis,1,7,,,,,,,100,150,,,,,,,,,IM,
Ampicillin,Meningitis,8,29,,,,,,,150,200,,,,,,,,,IM,
Ampicillin,Meningitis,,,1,,,11,,,150,400,,,12000,,,,,,IV,
Ampicillin,Meningitis,1,7,,,,,,,100,150,,,,,,,,,IV,
Ampicillin,Meningitis,8,29,,,,,,,150,200,,,,,,,,,IV,
Ampicillin,Meningitis - Streptococcus Group B,,,,,18,120,,,,,,,,,2000,6000,,,IV,
Ampicillin,Meningitis - Streptococcus Group B,29,,,,,1,,,300,370,,,,,,,,,IM,
Ampicillin,Meningitis - Streptococcus Group B,1,7,,,,,,,200,300,,,,,,,,,IM,
Ampicillin,Meningitis - Streptococcus Group B,8,29,,,,,,,300,370,,,,,,,,,IM,
Ampicillin,Meningitis - Streptococcus Group B,29,,,,,1,,,300,370,,,,,,,,,IV,
Ampicillin,Meningitis - Streptococcus Group B,1,7,,,,,,,200,300,,,,,,,,,IV,
Ampicillin,Meningitis - Streptococcus Group B,8,29,,,,,,,300,370,,,,,,,,,IV,
Ampicillin,Pharyngitis,,,,,12,120,,,,,,,,,1000,2000,,,IM,
Ampicillin,Pharyngitis,,,,,12,120,,,,,,,,,1000,2000,,,IV,
Ampicillin,Pharyngitis,,,,,12,120,,,,,,,,,1000,1250,,,PO,
Ampicillin,Pharyngitis,,,1,,,11,,39.5,25,50,,,,,,,,,IM,
Ampicillin,Pharyngitis,,,1,,,11,39.6,,,,,,,,1000,2000,,,IM,
Ampicillin,Pharyngitis,,,1,,,11,,39.5,25,50,,,,,,,,,IV,
Ampicillin,Pharyngitis,,,1,,,11,39.6,,,,,,,,1000,2000,,,IV,
Ampicillin,Pharyngitis,,,1,,,11,19.6,,,,,,,,1000,1250,,,PO,
Ampicillin,Pharyngitis,,,1,,,11,,19.5,50,62.5,,,,,,,,,PO,
Ampicillin,Pneumonia,,,,,12,120,,,,,,,,,1000,2000,,,IM,
Ampicillin,Pneumonia,,,,,12,120,,,,,,,,,1000,2000,,,IV,
Ampicillin,Pneumonia,,,,,12,120,,,,,,,,,1000,1250,,,PO,
Ampicillin,Pneumonia,,,1,,,11,,39.5,25,50,,,,,,,,,IM,
Ampicillin,Pneumonia,,,1,,,11,39.6,,,,,,,,1000,2000,,,IM,
Ampicillin,Pneumonia,,,1,,,11,,39.5,25,50,,,,,,,,,IV,
Ampicillin,Pneumonia,,,1,,,11,39.6,,,,,,,,1000,2000,,,IV,
Ampicillin,Pneumonia,,,1,,,11,19.6,,,,,,,,1000,1250,,,PO,
Ampicillin,Pneumonia,,,1,,,11,,19.5,25,31.25,,,,,,,,,PO,
Ampicillin,Septicemia,,,,,12,120,,,150,200,,,12000,,,,,,IV,
Ampicillin,Septicemia,,,1,,,11,,,150,200,,,,,,,,,IM,
Ampicillin,Septicemia,1,7,,,,,,,100,150,,,,,,,,,IM,
Ampicillin,Septicemia,8,29,,,,,,,150,200,,,,,,,,,IM,
Ampicillin,Septicemia,,,1,,,11,,,150,200,,,,,,,,,IV,
Ampicillin,Septicemia,1,7,,,,,,,100,150,,,,,,,,,IV,
Ampicillin,Septicemia,8,29,,,,,,,150,200,,,,,,,,,IV,
Ampicillin,Shigellosis,,,,,12,120,,,,,,,,,2000,2500,,,IM,
Ampicillin,Shigellosis,,,,,12,120,,,,,,,,,2000,2500,,,IV,
Ampicillin,Shigellosis,,,,,12,120,,,,,,,,,2000,2500,,,PO,
Ampicillin,Shigellosis,,,1,,,11,,39.5,50,62.5,,,,,,,,,IM,
Ampicillin,Shigellosis,,,1,,,11,39.6,,,,,,,,2000,2500,,,IM,
Ampicillin,Shigellosis,,,1,,,11,,39.5,50,62.5,,,,,,,,,IV,
Ampicillin,Shigellosis,,,1,,,11,39.6,,,,,,,,2000,2500,,,IV,
Ampicillin,Shigellosis,,,1,,,11,19.6,,,,,,,,2000,2500,,,PO,
Ampicillin,Shigellosis,,,1,,,11,,19.5,25,31.25,,,,,,,,,PO,
Ampicillin,Sinusitis,,,,,12,120,,,,,,,,,1000,2000,,,IM,
Ampicillin,Sinusitis,,,,,12,120,,,,,,,,,1000,2000,,,IV,
Ampicillin,Sinusitis,,,,,12,120,,,,,,,,,1000,1250,,,PO,
Ampicillin,Sinusitis,,,1,,,11,,39.5,25,50,,,,,,,,,IM,
Ampicillin,Sinusitis,,,1,,,11,39.6,,,,,,,,1000,2000,,,IM,
Ampicillin,Sinusitis,,,1,,,11,,39.5,25,50,,,,,,,,,IV,
Ampicillin,Sinusitis,,,1,,,11,39.6,,,,,,,,1000,2000,,,IV,
Ampicillin,Sinusitis,,,1,,,11,19.6,,,,,,,,1000,1250,,,PO,
Ampicillin,Sinusitis,,,1,,,11,,19.5,50,62.5,,,,,,,,,PO,
Ampicillin,Skin or Soft Tissue Infection,,,,,12,120,39.6,,,,,,,,1000,2000,,,IM,
Ampicillin,Skin or Soft Tissue Infection,,,,,12,120,39.6,,,,,,,,1000,2000,,,IV,
Ampicillin,Skin or Soft Tissue Infection,,,1,,,11,,39.5,50,62.5,,,,,,,,,IM,
Ampicillin,Skin or Soft Tissue Infection,,,1,,,11,39.6,,,,,,,,1000,2000,,,IM,
Ampicillin,Skin or Soft Tissue Infection,,,1,,,11,,39.5,50,62.5,,,,,,,,,IV,
